model,scaler,balancing_name,training_time,f1,best_params
SVC,passthrough,SMOTE,35.66964101791382,0.7599338091664566,"{'clf__tol': 0.01, 'clf__random_state': 42, 'clf__probability': True, 'clf__kernel': 'rbf', 'clf__cache_size': 1000}"
SVC,StandardScaler,passthrough,8.009114742279053,0.748477604177831,"{'clf__tol': 0.01, 'clf__random_state': 42, 'clf__probability': True, 'clf__kernel': 'rbf', 'clf__cache_size': 1000}"
SVC,StandardScaler,RandomOverSampler,26.224426984786987,0.7410065178297254,"{'clf__tol': 0.01, 'clf__random_state': 42, 'clf__probability': True, 'clf__kernel': 'rbf', 'clf__cache_size': 1000}"
SVC,StandardScaler,RandomUnderSampler,5.374584197998047,0.6615448101629613,"{'clf__tol': 0.01, 'clf__random_state': 42, 'clf__probability': True, 'clf__kernel': 'rbf', 'clf__cache_size': 1000}"
SVC,StandardScaler,SMOTE,23.54694700241089,0.7348415992333078,"{'clf__tol': 0.01, 'clf__random_state': 42, 'clf__probability': True, 'clf__kernel': 'rbf', 'clf__cache_size': 1000}"
SVC,MinMaxScaler,passthrough,7.280389070510864,0.7498166772289785,"{'clf__tol': 0.01, 'clf__random_state': 42, 'clf__probability': True, 'clf__kernel': 'rbf', 'clf__cache_size': 1000}"
SVC,MinMaxScaler,RandomOverSampler,19.851496934890747,0.7385840937304752,"{'clf__tol': 0.01, 'clf__random_state': 42, 'clf__probability': True, 'clf__kernel': 'rbf', 'clf__cache_size': 1000}"
SVC,MinMaxScaler,RandomUnderSampler,5.131115913391113,0.6629282530479634,"{'clf__tol': 0.01, 'clf__random_state': 42, 'clf__probability': True, 'clf__kernel': 'rbf', 'clf__cache_size': 1000}"
SVC,MinMaxScaler,SMOTE,17.734636068344116,0.737785380945557,"{'clf__tol': 0.01, 'clf__random_state': 42, 'clf__probability': True, 'clf__kernel': 'rbf', 'clf__cache_size': 1000}"
NaiveBayes,passthrough,passthrough,3.756150960922241,0.512332136747736,{}
NaiveBayes,passthrough,RandomOverSampler,3.7966017723083496,0.4816163526290517,{}
NaiveBayes,passthrough,RandomUnderSampler,3.704845905303955,0.4785529801401562,{}
NaiveBayes,passthrough,SMOTE,3.7252519130706787,0.5001216024782518,{}
NaiveBayes,StandardScaler,passthrough,3.6384198665618896,0.512332136747736,{}
NaiveBayes,StandardScaler,RandomOverSampler,3.6711978912353516,0.4816163526290517,{}
NaiveBayes,StandardScaler,RandomUnderSampler,3.7331058979034424,0.4785529801401562,{}
NaiveBayes,StandardScaler,SMOTE,3.743704080581665,0.49449880727206164,{}
NaiveBayes,MinMaxScaler,passthrough,3.6952908039093018,0.512332136747736,{}
NaiveBayes,MinMaxScaler,RandomOverSampler,3.7012741565704346,0.4816163526290517,{}
NaiveBayes,MinMaxScaler,RandomUnderSampler,3.705656051635742,0.4785529801401562,{}
NaiveBayes,MinMaxScaler,SMOTE,3.6251840591430664,0.4944924037605276,{}
DecisionTreeClassifier,passthrough,passthrough,144.8480851650238,0.5613116203439108,"{'clf__criterion': 'log_loss', 'clf__max_depth': 11, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 7, 'clf__random_state': 42}"
DecisionTreeClassifier,passthrough,RandomOverSampler,158.0262849330902,0.5393878072654434,"{'clf__criterion': 'entropy', 'clf__max_depth': 17, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 12, 'clf__random_state': 42}"
DecisionTreeClassifier,passthrough,RandomUnderSampler,155.369380235672,0.4716047152236362,"{'clf__criterion': 'entropy', 'clf__max_depth': 6, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 3, 'clf__random_state': 42}"
DecisionTreeClassifier,passthrough,SMOTE,156.94313502311707,0.5113649564313725,"{'clf__criterion': 'log_loss', 'clf__max_depth': 16, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 16, 'clf__random_state': 42}"
DecisionTreeClassifier,StandardScaler,passthrough,152.9978630542755,0.5620299796986161,"{'clf__criterion': 'log_loss', 'clf__max_depth': 13, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 5, 'clf__random_state': 42}"
DecisionTreeClassifier,StandardScaler,RandomOverSampler,153.1505789756775,0.5291945451203797,"{'clf__criterion': 'gini', 'clf__max_depth': 16, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 5, 'clf__random_state': 42}"
DecisionTreeClassifier,StandardScaler,RandomUnderSampler,154.08878469467163,0.4675129935966652,"{'clf__criterion': 'gini', 'clf__max_depth': 6, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 8, 'clf__random_state': 42}"
DecisionTreeClassifier,StandardScaler,SMOTE,157.9912769794464,0.51146604472523,"{'clf__criterion': 'entropy', 'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 6, 'clf__min_samples_split': 12, 'clf__random_state': 42}"
DecisionTreeClassifier,MinMaxScaler,passthrough,154.22518396377563,0.5699030984666349,"{'clf__criterion': 'log_loss', 'clf__max_depth': 14, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 15, 'clf__random_state': 42}"
DecisionTreeClassifier,MinMaxScaler,RandomOverSampler,154.0618577003479,0.5289090088728202,"{'clf__criterion': 'gini', 'clf__max_depth': 14, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 17, 'clf__random_state': 42}"
DecisionTreeClassifier,MinMaxScaler,RandomUnderSampler,170.5218379497528,0.45295162561151914,"{'clf__criterion': 'entropy', 'clf__max_depth': 9, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 16, 'clf__random_state': 42}"
DecisionTreeClassifier,MinMaxScaler,SMOTE,148.78481698036194,0.5132030716124107,"{'clf__criterion': 'gini', 'clf__max_depth': 14, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 9, 'clf__random_state': 42}"
RandomForestClassifier,passthrough,passthrough,199.67176508903503,0.6586458953093389,"{'clf__criterion': 'gini', 'clf__max_depth': 19, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 4, 'clf__n_estimators': 69, 'clf__random_state': 42}"
RandomForestClassifier,passthrough,RandomOverSampler,229.55819082260132,0.7496633050590786,"{'clf__criterion': 'log_loss', 'clf__max_depth': 17, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 13, 'clf__n_estimators': 160, 'clf__random_state': 42}"
RandomForestClassifier,passthrough,RandomUnderSampler,145.97015714645386,0.6291602563818611,"{'clf__criterion': 'entropy', 'clf__max_depth': 14, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 3, 'clf__n_estimators': 160, 'clf__random_state': 42}"
RandomForestClassifier,passthrough,SMOTE,250.75492668151855,0.7403480911710522,"{'clf__criterion': 'entropy', 'clf__max_depth': 18, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 8, 'clf__n_estimators': 190, 'clf__random_state': 42}"
RandomForestClassifier,StandardScaler,passthrough,196.28122210502625,0.6579091494022236,"{'clf__criterion': 'gini', 'clf__max_depth': 17, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 9, 'clf__n_estimators': 112, 'clf__random_state': 42}"
