timestamp,model,scaler,accuracy,precision,recall,f1,roc_auc,fit_time,score_time
2025-06-23T15:02:26.196280,LogisticRegression,NoScaling,0.8714285714285716,0.4671980450328543,0.7924326877657062,0.5873936405485505,0.8955479922135787,0.11168889999389649,0.022017288208007812
2025-06-23T15:02:32.150879,LogisticRegression,StandardScaler,0.8734920634920634,0.4718148574199432,0.7910628247520075,0.5907924005668177,0.8957353542057229,0.033248519897460936,0.022025489807128908
2025-06-23T15:02:33.807334,LogisticRegression,MinMaxScaler,0.8717460317460318,0.4676635017913947,0.7979215871516296,0.5894281335443542,0.8963192263844302,0.03738842010498047,0.022196865081787108
2025-06-23T15:02:49.801868,DecisionTreeClassifier,NoScaling,0.8706349206349205,0.458953080500081,0.6551157298063297,0.5389636205786645,0.7769456807970873,0.25361084938049316,0.02049846649169922
2025-06-23T15:02:50.608024,DecisionTreeClassifier,StandardScaler,0.8642857142857142,0.44186175514431403,0.6496268304204063,0.5253754220292087,0.7709720485035507,0.24002289772033691,0.02303605079650879
2025-06-23T15:02:51.433107,DecisionTreeClassifier,MinMaxScaler,0.8614285714285714,0.4329110019149162,0.6413604156825696,0.5161986627960007,0.7657609172792573,0.24719648361206054,0.020746421813964844
2025-06-23T15:02:54.921290,RandomForestClassifier,NoScaling,0.9492063492063492,0.8121162207220329,0.7292772791686348,0.7676460640546254,0.9122970550055264,2.836750793457031,0.04447274208068848
2025-06-23T15:03:10.310446,RandomForestClassifier,StandardScaler,0.9466666666666667,0.7993290043290042,0.7196126594237129,0.7561766391338681,0.9139201616816969,2.825670862197876,0.04922471046447754
2025-06-23T15:03:25.666802,RandomForestClassifier,MinMaxScaler,0.9480952380952381,0.8058453633919692,0.7251582427964101,0.762986273888356,0.9154393619232198,2.766367959976196,0.04953222274780274
2025-06-23T15:03:38.810524,XGBClassifier,NoScaling,0.9457142857142857,0.7848131311803738,0.7306565895134625,0.7562005949295418,0.9125208232093616,0.5904036045074463,0.029497909545898437
2025-06-23T15:03:42.986954,XGBClassifier,StandardScaler,0.9476190476190476,0.7817617280934497,0.7581483230987246,0.7694426157559798,0.9162874342224597,0.34272065162658694,0.03266134262084961
2025-06-23T15:03:46.891963,XGBClassifier,MinMaxScaler,0.9447619047619048,0.7745361668254483,0.7375531412376003,0.7551299127441304,0.9156158966354535,0.3639834880828857,0.03158059120178223
2025-06-23T15:03:52.260810,LightGBM,NoScaling,0.9419047619047619,0.7470071511763146,0.7512612187057156,0.7489021827723799,0.9104941310591661,1.733305025100708,0.037376689910888675
2025-06-23T15:04:04.684831,LightGBM,StandardScaler,0.940952380952381,0.7380061553534708,0.7581577704298536,0.747413322085591,0.9168991109939789,0.4684486389160156,0.036949872970581055
2025-06-23T15:04:16.263031,LightGBM,MinMaxScaler,0.9411111111111111,0.7418681440112239,0.7526405290505431,0.7466259982656311,0.913123014673627,0.34027972221374514,0.037279939651489256
2025-06-23T15:04:26.300237,NaiveBayes,NoScaling,0.8447619047619048,0.40684623320292657,0.7471421823334908,0.5267490683772139,0.8741748412569652,0.032474088668823245,0.029328393936157226
2025-06-23T15:04:26.380280,NaiveBayes,StandardScaler,0.8452380952380952,0.4092334615840151,0.7635899858290033,0.5328394400827297,0.8761634847908224,0.027335548400878908,0.02270359992980957
2025-06-23T15:04:26.447071,NaiveBayes,MinMaxScaler,0.844920634920635,0.4086202387377519,0.7635994331601322,0.5323197157296521,0.8760764638509752,0.024879026412963866,0.024626827239990233
2025-06-23T15:04:32.238732,SVC,StandardScaler,0.9404761904761905,0.7349064101281898,0.7609069437883798,0.7470548383586687,0.9155895426119558,4.461844396591187,0.5686870098114014
2025-06-23T15:05:37.521930,SVC,MinMaxScaler,0.9414285714285715,0.736656149502407,0.7691639111950874,0.7520761049602092,0.9157480544775382,5.028368806838989,0.7308787345886231
2025-06-23T15:10:53.015676,KNeighborsClassifier,NoScaling,0.8734920634920634,0.471822146580151,0.7788096362777516,0.5873944929669326,0.8821352197308429,0.022202491760253906,0.12005486488342285
2025-06-23T15:10:54.123930,KNeighborsClassifier,StandardScaler,0.856031746031746,0.4326414502247699,0.7815399149740199,0.5566212814345247,0.8695088343376819,0.026988697052001954,0.14989800453186036
2025-06-23T15:10:55.526564,KNeighborsClassifier,MinMaxScaler,0.856031746031746,0.43167225196732134,0.7719225318847426,0.5534860256640378,0.8737511054214447,0.026063203811645508,0.12205181121826172
