model,scaler,balancing name,time_training,accuracy_score,precision_score,recall_score,f1_score,roc_auc_score,best_params
SVC,StandardScaler,RandomOverSampler,98.15040588378906,0.9218629021747544,0.9224434306711153,0.9218629021747544,0.9218360962804839,0.9651640789543177,"{'clf__C': np.float64(6.1111501174320875), 'clf__gamma': 'auto', 'clf__kernel': 'poly'}"
SVC,MinMaxScaler,RandomOverSampler,1121.8846871852875,0.9445275031529187,0.9446127337692122,0.9445275031529187,0.9445247057347865,0.9807407860501047,"{'clf__C': np.float64(3.845401188473625), 'clf__gamma': 'scale', 'clf__kernel': 'poly'}"
SVC,None,RandomOverSampler,561.8404538631439,0.9507886951570971,0.9534262473561329,0.9507886951570971,0.9507162802720405,0.9698788016572323,"{'clf__C': np.float64(6.1111501174320875), 'clf__gamma': 'auto', 'clf__kernel': 'poly'}"
SVC,StandardScaler,RandomUnderSampler,1.3145027160644531,0.8283889801131181,0.8295655045409394,0.8283889801131181,0.8282281713663009,0.8772965340407952,"{'clf__C': np.float64(1.6601864044243653), 'clf__gamma': 'scale', 'clf__kernel': 'poly'}"
SVC,MinMaxScaler,RandomUnderSampler,10.902252197265625,0.8382643069999393,0.8389221899239458,0.8382643069999393,0.838190361137133,0.8965349057412959,"{'clf__C': np.float64(1.6601864044243653), 'clf__gamma': 'scale', 'clf__kernel': 'poly'}"
SVC,None,RandomUnderSampler,4.411891937255859,0.8589588274645747,0.8600844755167815,0.8589588274645747,0.8588523342135626,0.8936751055774849,"{'clf__C': np.float64(1.6601864044243653), 'clf__gamma': 'scale', 'clf__kernel': 'poly'}"
NaiveBayes,StandardScaler,SMOTE,,0.8356498873027799,,,,,"{'memory': None, 'steps': [('scaler', StandardScaler()), ('clf', GaussianNB())], 'transform_input': None, 'verbose': False, 'scaler': StandardScaler(), 'clf': GaussianNB(), 'scaler__copy': True, 'scaler__with_mean': True, 'scaler__with_std': True, 'clf__priors': None, 'clf__var_smoothing': 1e-09}"
NaiveBayes,MinMaxScaler,SMOTE,,0.8356498873027799,,,,,"{'memory': None, 'steps': [('scaler', MinMaxScaler()), ('clf', GaussianNB())], 'transform_input': None, 'verbose': False, 'scaler': MinMaxScaler(), 'clf': GaussianNB(), 'scaler__clip': False, 'scaler__copy': True, 'scaler__feature_range': (0, 1), 'clf__priors': None, 'clf__var_smoothing': 1e-09}"
NaiveBayes,None,SMOTE,,0.8356498873027799,,,,,"{'memory': None, 'steps': [('clf', GaussianNB())], 'transform_input': None, 'verbose': False, 'clf': GaussianNB(), 'clf__priors': None, 'clf__var_smoothing': 1e-09}"
NaiveBayes,StandardScaler,RandomOverSampler,,0.805221637866266,,,,,"{'memory': None, 'steps': [('scaler', StandardScaler()), ('clf', GaussianNB())], 'transform_input': None, 'verbose': False, 'scaler': StandardScaler(), 'clf': GaussianNB(), 'scaler__copy': True, 'scaler__with_mean': True, 'scaler__with_std': True, 'clf__priors': None, 'clf__var_smoothing': 1e-09}"
NaiveBayes,MinMaxScaler,RandomOverSampler,,0.805221637866266,,,,,"{'memory': None, 'steps': [('scaler', MinMaxScaler()), ('clf', GaussianNB())], 'transform_input': None, 'verbose': False, 'scaler': MinMaxScaler(), 'clf': GaussianNB(), 'scaler__clip': False, 'scaler__copy': True, 'scaler__feature_range': (0, 1), 'clf__priors': None, 'clf__var_smoothing': 1e-09}"
NaiveBayes,None,RandomOverSampler,,0.805221637866266,,,,,"{'memory': None, 'steps': [('clf', GaussianNB())], 'transform_input': None, 'verbose': False, 'clf': GaussianNB(), 'clf__priors': None, 'clf__var_smoothing': 1e-09}"
NaiveBayes,StandardScaler,RandomUnderSampler,,0.7973372781065089,,,,,"{'memory': None, 'steps': [('scaler', StandardScaler()), ('clf', GaussianNB())], 'transform_input': None, 'verbose': False, 'scaler': StandardScaler(), 'clf': GaussianNB(), 'scaler__copy': True, 'scaler__with_mean': True, 'scaler__with_std': True, 'clf__priors': None, 'clf__var_smoothing': 1e-09}"
NaiveBayes,MinMaxScaler,RandomUnderSampler,,0.7973372781065089,,,,,"{'memory': None, 'steps': [('scaler', MinMaxScaler()), ('clf', GaussianNB())], 'transform_input': None, 'verbose': False, 'scaler': MinMaxScaler(), 'clf': GaussianNB(), 'scaler__clip': False, 'scaler__copy': True, 'scaler__feature_range': (0, 1), 'clf__priors': None, 'clf__var_smoothing': 1e-09}"
NaiveBayes,None,RandomUnderSampler,,0.7973372781065089,,,,,"{'memory': None, 'steps': [('clf', GaussianNB())], 'transform_input': None, 'verbose': False, 'clf': GaussianNB(), 'clf__priors': None, 'clf__var_smoothing': 1e-09}"
DecisionTreeClassifier,StandardScaler,SMOTE,0.414355993270874,0.8703986249648452,0.8705483642502203,0.8703986249648452,0.870385307174594,0.9160982664514016,"{'clf__criterion': 'gini', 'clf__max_depth': 19, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 13}"
DecisionTreeClassifier,MinMaxScaler,SMOTE,0.3408021926879883,0.8703986249648452,0.8705483642502203,0.8703986249648452,0.870385307174594,0.9160982664514016,"{'clf__criterion': 'gini', 'clf__max_depth': 19, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 13}"
